setting,model,seed,RMSE_degC,MAE_degC,R2,skill_vs_persistence
complete context,Persistence,-1,1.1238537,0.8295803,0.7902213,0.0
complete context,Simple GAN (C2),42,0.9382013,0.7076291,0.85380447,0.16519266
complete context,Simple GAN (C2),43,0.9291841,0.69874114,0.85660124,0.17321616
complete context,Simple GAN (C2),44,0.9161978,0.69511205,0.8605815,0.1847713
gappy context,Persistence,-1,1.1789395,0.8647993,0.76915264,0.0
gappy context,Simple GAN (C1 → C2),42,0.9792176,0.7413218,0.84074235,0.16940808
gappy context,Simple GAN (C1 → C2),43,0.9614814,0.7289302,0.84645927,0.1844523
gappy context,Simple GAN (C1 → C2),44,0.9478823,0.72274005,0.85077184,0.19598728
complete context,Shared GAN (A),42,1.8664033,1.5358704,0.42143393,-0.66071737
complete context,Shared GAN (A),43,1.6765213,1.3635832,0.53316855,-0.4917612
complete context,Shared GAN (A),44,1.6610593,1.3337849,0.5417397,-0.47800314
complete context,Shared WGAN-GP (B),42,1.9760847,1.6306065,0.35143566,-0.7583114
complete context,Shared WGAN-GP (B),43,1.512364,1.209839,0.62011284,-0.34569478
complete context,Shared WGAN-GP (B),44,1.781807,1.455525,0.47269332,-0.58544385
gappy context,Shared GAN (A),42,1.9328861,1.5954461,0.37948185,-0.63951266
gappy context,Shared GAN (A),43,1.7506684,1.435929,0.49096256,-0.48495185
gappy context,Shared GAN (A),44,1.776471,1.444136,0.47584683,-0.5068382
gappy context,Shared WGAN-GP (B),42,2.056197,1.7027684,0.29778296,-0.74410725
gappy context,Shared WGAN-GP (B),43,1.5949085,1.2886859,0.5775129,-0.35283327
gappy context,Shared WGAN-GP (B),44,1.8555627,1.5243355,0.42813534,-0.5739254
