model,seed,temp_RMSE_degC,temp_MAE_degC,temp_R2,temp_RMSE_scaled,all_RMSE_scaled,all_MAE_scaled
Shared GAN (A),42,1.0293952,0.78055465,0.82346874,0.37307772,0.83590215,0.42010552
Shared GAN (A),43,0.92492026,0.7038142,0.85748327,0.33521348,0.8243737,0.4203108
Shared GAN (A),44,0.90689266,0.7011332,0.86298466,0.32867983,0.8333008,0.42217278
Shared WGAN-GP (B),42,1.0183192,0.7767284,0.82724714,0.36906353,0.8320433,0.41810513
Shared WGAN-GP (B),43,0.9048157,0.6991691,0.8636116,0.32792708,0.8242934,0.4077065
Shared WGAN-GP (B),44,0.9840586,0.7604866,0.83867586,0.35664666,0.83883107,0.4199067
Simple GAN (C1),42,0.87732154,0.6763541,0.8717743,0.31796256,0.83502406,0.4357002
Simple GAN (C1),43,0.9284579,0.7040033,0.85639095,0.3364956,0.84198624,0.4364272
Simple GAN (C1),44,0.90689266,0.7011332,0.86298466,0.32867983,0.8333008,0.42217276
Linear interpolation,-1,0.6716283,0.4878442,0.9248524,0.24341434,0.78584087,0.31053364
